model,target,rmse,mae
naive_previous_day,closing_price,1.7354211179690398,1.2534960629921257
naive_5day_avg,closing_price,2.5201207895060884,1.8767748031496059
naive_diff_addition,closing_price,2.4541897444140903,1.7873015873015874
