date,closing_price,clolag_1,price_diff,prilag_1,prilag_2,prilag_3,prilag_4,prilag_5
2023-05-11,98.35,97.85,0.5,0.5099999999999909,0.21999999999999886,0.9900000000000091,0.36999999999999034,-2.530000000000001
2023-05-12,98.96,98.35,0.6099999999999994,0.5,0.5099999999999909,0.21999999999999886,0.9900000000000091,0.36999999999999034
2023-05-15,98.5,98.96,-0.45999999999999375,0.6099999999999994,0.5,0.5099999999999909,0.21999999999999886,0.9900000000000091
2023-05-16,97.59,98.5,-0.9099999999999966,-0.45999999999999375,0.6099999999999994,0.5,0.5099999999999909,0.21999999999999886
2023-05-17,97.14,97.59,-0.45000000000000284,-0.9099999999999966,-0.45999999999999375,0.6099999999999994,0.5,0.5099999999999909
2023-05-18,98.0,97.14,0.8599999999999994,-0.45000000000000284,-0.9099999999999966,-0.45999999999999375,0.6099999999999994,0.5
2023-05-19,99.8,98.0,1.7999999999999972,0.8599999999999994,-0.45000000000000284,-0.9099999999999966,-0.45999999999999375,0.6099999999999994
2023-05-22,98.9,99.8,-0.8999999999999915,1.7999999999999972,0.8599999999999994,-0.45000000000000284,-0.9099999999999966,-0.45999999999999375
2023-05-23,99.44,98.9,0.539999999999992,-0.8999999999999915,1.7999999999999972,0.8599999999999994,-0.45000000000000284,-0.9099999999999966
2023-05-24,99.93,99.44,0.4900000000000091,0.539999999999992,-0.8999999999999915,1.7999999999999972,0.8599999999999994,-0.45000000000000284
2023-05-25,97.72,99.93,-2.210000000000008,0.4900000000000091,0.539999999999992,-0.8999999999999915,1.7999999999999972,0.8599999999999994
2023-05-26,98.16,97.72,0.4399999999999977,-2.210000000000008,0.4900000000000091,0.539999999999992,-0.8999999999999915,1.7999999999999972
2023-05-29,99.57,98.16,1.4099999999999966,0.4399999999999977,-2.210000000000008,0.4900000000000091,0.539999999999992,-0.8999999999999915
2023-05-30,99.18,99.57,-0.38999999999998636,1.4099999999999966,0.4399999999999977,-2.210000000000008,0.4900000000000091,0.539999999999992
2023-05-31,96.78,99.18,-2.4000000000000057,-0.38999999999998636,1.4099999999999966,0.4399999999999977,-2.210000000000008,0.4900000000000091
2023-06-01,96.8,96.78,0.01999999999999602,-2.4000000000000057,-0.38999999999998636,1.4099999999999966,0.4399999999999977,-2.210000000000008
2023-06-02,96.91,96.8,0.10999999999999943,0.01999999999999602,-2.4000000000000057,-0.38999999999998636,1.4099999999999966,0.4399999999999977
2023-06-05,97.5,96.91,0.5900000000000034,0.10999999999999943,0.01999999999999602,-2.4000000000000057,-0.38999999999998636,1.4099999999999966
2023-06-06,96.56,97.5,-0.9399999999999977,0.5900000000000034,0.10999999999999943,0.01999999999999602,-2.4000000000000057,-0.38999999999998636
2023-06-07,95.69,96.56,-0.8700000000000045,-0.9399999999999977,0.5900000000000034,0.10999999999999943,0.01999999999999602,-2.4000000000000057
2023-06-08,95.89,95.69,0.20000000000000284,-0.8700000000000045,-0.9399999999999977,0.5900000000000034,0.10999999999999943,0.01999999999999602
2023-06-09,95.8,95.89,-0.09000000000000341,0.20000000000000284,-0.8700000000000045,-0.9399999999999977,0.5900000000000034,0.10999999999999943
2023-06-13,96.52,95.8,0.7199999999999989,-0.09000000000000341,0.20000000000000284,-0.8700000000000045,-0.9399999999999977,0.5900000000000034
2023-06-14,97.37,96.52,0.8500000000000085,0.7199999999999989,-0.09000000000000341,0.20000000000000284,-0.8700000000000045,-0.9399999999999977
2023-06-15,97.99,97.37,0.6199999999999903,0.8500000000000085,0.7199999999999989,-0.09000000000000341,0.20000000000000284,-0.8700000000000045
2023-06-16,99.35,97.99,1.3599999999999994,0.6199999999999903,0.8500000000000085,0.7199999999999989,-0.09000000000000341,0.20000000000000284
2023-06-19,100.51,99.35,1.1600000000000108,1.3599999999999994,0.6199999999999903,0.8500000000000085,0.7199999999999989,-0.09000000000000341
2023-06-20,101.62,100.51,1.1099999999999994,1.1600000000000108,1.3599999999999994,0.6199999999999903,0.8500000000000085,0.7199999999999989
2023-06-21,101.68,101.62,0.060000000000002274,1.1099999999999994,1.1600000000000108,1.3599999999999994,0.6199999999999903,0.8500000000000085
2023-06-22,100.08,101.68,-1.6000000000000085,0.060000000000002274,1.1099999999999994,1.1600000000000108,1.3599999999999994,0.6199999999999903
2023-06-23,98.51,100.08,-1.5699999999999932,-1.6000000000000085,0.060000000000002274,1.1099999999999994,1.1600000000000108,1.3599999999999994
2023-06-26,97.93,98.51,-0.5799999999999983,-1.5699999999999932,-1.6000000000000085,0.060000000000002274,1.1099999999999994,1.1600000000000108
2023-06-27,98.43,97.93,0.5,-0.5799999999999983,-1.5699999999999932,-1.6000000000000085,0.060000000000002274,1.1099999999999994
2023-06-28,99.54,98.43,1.1099999999999994,0.5,-0.5799999999999983,-1.5699999999999932,-1.6000000000000085,0.060000000000002274
2023-06-29,100.07,99.54,0.5299999999999869,1.1099999999999994,0.5,-0.5799999999999983,-1.5699999999999932,-1.6000000000000085
2023-06-30,100.27,100.07,0.20000000000000284,0.5299999999999869,1.1099999999999994,0.5,-0.5799999999999983,-1.5699999999999932
2023-07-03,100.94,100.27,0.6700000000000017,0.20000000000000284,0.5299999999999869,1.1099999999999994,0.5,-0.5799999999999983
2023-07-04,102.28,100.94,1.3400000000000034,0.6700000000000017,0.20000000000000284,0.5299999999999869,1.1099999999999994,0.5
2023-07-05,101.78,102.28,-0.5,1.3400000000000034,0.6700000000000017,0.20000000000000284,0.5299999999999869,1.1099999999999994
2023-07-06,100.43,101.78,-1.3499999999999943,-0.5,1.3400000000000034,0.6700000000000017,0.20000000000000284,0.5299999999999869
2023-07-07,98.73,100.43,-1.7000000000000028,-1.3499999999999943,-0.5,1.3400000000000034,0.6700000000000017,0.20000000000000284
2023-07-10,98.52,98.73,-0.21000000000000796,-1.7000000000000028,-1.3499999999999943,-0.5,1.3400000000000034,0.6700000000000017
